Label,Count
NNC,22697
NNP,13885
CCT,11632
CCB,11103
CCP,7583
DTC,7484
PMP,5341
PMC,5273
VBTS,4452
LM,4317
DTCP,4215
JJD,3153
CCA,2691
CDB,2511
PMS,2275
VBTR,1902
JJD_CCP,1888
VBW,1868
DTP,1849
NNPA,1694
NNC_CCP,1494
RBW,1438
VBOF,1436
PRI_CCP,1420
RBI,1405
VBAF,1219
PRO,1086
RBW_CCP,966
RBF,963
PRS,836
PRSP_CCP,826
JJN_CCP,791
VBTF,790
CCR,704
PRI,701
VBH,688
RBL,640
PRP,551
VBS,516
JJN,446
VBTR_VBAF,443
RBR,399
RBD,393
NNP_CCP,347
JJCC,334
RBD_CCP,329
VBTS_CCP,296
RBK,273
RBI_CCP,270
VBTR_CCP,266
RBM,247
RBQ,245
PRQ_CCP,232
JJC,202
VBN_CCP,191
CCU,179
NNCA,151
PRS_CCP,143
PRL,140
PRP_CCP,136
JJCS_JJD_CCP,130
PRSP,122
JJCS_JJD,107
PRO_CCP,106
PRQ,102
FW,93
PMSC,87
JJC_CCP,81
RBT,79
VBN,76
PMQ,73
VBRF,68
DTPP,67
RBT_CCP,59
VBS_CCP,57
VBOF_CCP,52
JJCS,52
JJCS_CCP,50
VBH_CCP,47
VBTR_VBRF,46
PRC_CCP,36
VBTS_VBOF,31
RBL_CCP,29
PRC,24
VBRF_CCP,24
JJCC_CCP,22
VBW_CCP,21
VBOB,20
VBTR_VBAF_CCP,17
VBTS_VBAF,16
CCB_CCP,15
VBTF_VBAF,14
RBQ_CCP,12
VBTR_VBRF_CCP,12
VBTR_VBOF,11
VBTF_VBOF,9
VBAF_CCP,9
CCT_CCP,8
VBTF_CCP,8
RBS,7
RBN,7
RBM_CCP,5
VBOL,4
VBTR_VBOB,3
JJCN_CCP,1
CDB_CCP,1
PRI_CCB,1
JJCN,1
