Token,Count
ng,10487
sa,9354
na,7829
ang,5785
.,5543
",",5273
ay,4316
mga,4201
at,2604
Ang,1681
"""",1384
isang,898
para,857
hindi,743
si,738
ni,694
ito,674
noong,650
may,599
mula,453
kung,414
(,359
),356
pa,316
siya,312
dahil,309
bilang,297
niya,293
kanyang,291
Sa,286
kanilang,283
nang,275
Si,226
o,217
upang,215
dalawang,204
tao,202
bansa,201
pagkatapos,199
nasa,194
pang,193
ilang,188
-,184
lugar,184
taon,183
Sinabi,182
araw,179
sinabi,178
nito,177
sila,174
walang,171
mas,170
lamang,169
:,169
isa,168
unang,168
nila,167
kasama,165
habang,164
saan,162
din,161
rin,154
taong,152
hanggang,152
kay,150
laban,147
pero,143
ngayon,143
ibang,139
loob,138
lahat,137
kaniyang,137
tungkol,133
panahon,132
000,129
oras,128
pulis,124
sabi,124
Ito,121
New,121
bagong,119
Ayon,118
Hindi,118
naging,117
Noong,116
gobyerno,115
nakaraang,113
of,112
US,111
pamamagitan,110
namatay,108
opisyal,105
maaaring,104
bahagi,103
nagsabi,102
iba,100
dating,100
matapos,100
buong,100
ngunit,99
maraming,98
bago,97
lang,97
ayon,95
tatlong,93
batas,90
',90
$,89
;,87
miyembro,86
Unidos,86
naman,85
grupo,85
dapat,84
Estados,83
kahit,82
Isang,82
kaso,81
1,81
%,81
halos,80
maaring,79
Presidente,79
malaking,78
tubig,77
malapit,77
linggo,76
mundo,76
Israel,75
?,74
sasakyan,74
pagsabog,74
dito,73
5,73
buwan,73
langis,73
parehong,72
lokal,72
ilalim,72
simula,71
estado,71
maging,71
pagitan,71
2,71
huling,69
puntos,69
ulat,69
tulad,68
apat,68
iyon,67
siyang,67
dahilan,66
wala,66
umaga,65
Duterte,64
nangyari,64
higit,63
pamahalaan,63
resulta,63
Iraq,63
and,62
Ministro,62
S,62
pag,62
U,61
tagapagsalita,59
militar,58
pahayag,58
ginawa,58
balita,58
babae,58
Iran,58
bagay,58
lalaki,58
partido,57
nagkaroon,57
bayan,55
kompanya,55
karera,55
insidente,55
London,55
bawat,54
mataas,54
nagsimula,54
susunod,54
paraan,53
di,53
United,53
namin,53
kasalukuyang,52
At,52
niyang,52
buhay,52
eroplano,52
impormasyon,51
mamamahayag,51
magiging,51
kanila,51
3,51
Australia,51
tulong,50
gumawa,50
ko,50
Siya,50
30,50
The,50
itong,49
10,49
katawan,49
natin,48
York,48
laro,48
Biyernes,48
pagbabago,47
sistema,47
limang,47
ngayong,47
Tsina,47
pangunahing,47
pag-aaral,46
nakita,46
­,46
Pagkatapos,45
100,45
pagpupulong,45
alam,44
kamatayan,44
6,44
halaga,44
koponan,44
paggamit,43
bata,43
the,43
pagtaas,43
Punong,43
man,42
!,42
May,42
lindol,42
doon,42
milyon,42
ako,42
pangalawang,42
kahapon,42
gulang,42
daan,41
problema,41
bahay,41
inaasahang,41
pamilya,41
operasyon,41
puwersa,41
gabi,41
dagat,41
kasunduan,41
mamamayan,40
trabaho,40
antas,40
palabas,40
paaralan,40
milya,40
lungsod,40
nasaktan,40
pagkakataon,40
kaysa,39
kumpanya,39
Kung,39
silang,39
muli,39
Sabi,39
mahigit,39
bansang,39
patuloy,39
UK,39
katao,39
porsiyento,39
Huwebes,39
kailangan,38
gamit,38
ano,38
pangyayari,38
nilang,38
sina,38
biktima,38
Pero,38
pinuno,38
sakit,38
minuto,38
bababa,38
Muslim,38
naka,38
kapag,37
UN,37
milyong,37
pangkat,37
Wikinews,37
beses,36
nitong,36
bagyo,36
anumang,36
gamot,36
ikalawang,36
pagsusuri,36
sanhi,36
2006,36
presyo,36
Australya,36
sarili,35
ating,35
pambansang,35
galing,35
pinakamalaking,35
programa,35
pagpatay,35
2008,35
John,35
gusali,35
muling,35
nag,34
kaya,34
awtoridad,34
pag-atake,34
pagsasanay,34
labas,34
natagpuan,34
Disyembre,34
bus,34
Nobyembre,34
4,34
2004,34
karagdagang,34
Sabado,34
anim,34
manggagawa,34
50,34
nagpahayag,34
epekto,33
gawain,33
